Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\RoboticsND\My_repo\RoboND-Rover-Project\my_dataset\IMG\robocam_2017_06_07_12_17_15_965.jpg;0;1;0;0.803331;99.90787;85.95364;1.182304;57.17287;0.0003982901
C:\RoboticsND\My_repo\RoboND-Rover-Project\my_dataset\IMG\robocam_2017_06_07_12_17_16_032.jpg;0;1;0;0.8573019;99.94601;86.01237;1.227133;57.23996;-0.000886954
C:\RoboticsND\My_repo\RoboND-Rover-Project\my_dataset\IMG\robocam_2017_06_07_12_17_16_099.jpg;0;1;0;0.9003696;99.97637;86.05919;1.248181;57.19834;-0.0009094313
C:\RoboticsND\My_repo\RoboND-Rover-Project\my_dataset\IMG\robocam_2017_06_07_12_17_16_165.jpg;0;1;0;0.9729492;100.0084;86.10844;1.252429;57.19007;-0.001001582
C:\RoboticsND\My_repo\RoboND-Rover-Project\my_dataset\IMG\robocam_2017_06_07_12_17_16_232.jpg;0;1;0;1.027565;100.0531;86.17726;1.221294;57.18035;-0.0008757171
C:\RoboticsND\My_repo\RoboND-Rover-Project\my_dataset\IMG\robocam_2017_06_07_12_17_16_299.jpg;0;1;0;1.059234;100.0884;86.23152;1.211824;57.17522;-0.000412198
C:\RoboticsND\My_repo\RoboND-Rover-Project\my_dataset\IMG\robocam_2017_06_07_12_17_16_366.jpg;0;1;0;1.132539;100.1259;86.2891;1.243438;57.1661;-0.0009024912
C:\RoboticsND\My_repo\RoboND-Rover-Project\my_dataset\IMG\robocam_2017_06_07_12_17_16_432.jpg;-1.47428;1;0;1.177172;100.1777;86.36826;1.236492;57.09623;-0.0004859904
C:\RoboticsND\My_repo\RoboND-Rover-Project\my_dataset\IMG\robocam_2017_06_07_12_17_16_499.jpg;-4.480446;1;0;1.222252;100.2198;86.42979;1.232804;56.8106;0.0006634822
C:\RoboticsND\My_repo\RoboND-Rover-Project\my_dataset\IMG\robocam_2017_06_07_12_17_16_565.jpg;-7.485395;1;0;1.285469;100.2646;86.49268;1.227624;56.29527;0.002110426
C:\RoboticsND\My_repo\RoboND-Rover-Project\my_dataset\IMG\robocam_2017_06_07_12_17_16_632.jpg;-7.482329;1;0;1.333645;100.3289;86.5787;1.228772;55.33985;0.002837155
C:\RoboticsND\My_repo\RoboND-Rover-Project\my_dataset\IMG\robocam_2017_06_07_12_17_16_699.jpg;-4.444903;1;0;1.380111;100.3793;86.64589;1.237936;54.78901;0.002174829
C:\RoboticsND\My_repo\RoboND-Rover-Project\my_dataset\IMG\robocam_2017_06_07_12_17_16_766.jpg;-1.456749;1;0;1.442331;100.431;86.71557;1.248274;54.46024;0.001232021
C:\RoboticsND\My_repo\RoboND-Rover-Project\my_dataset\IMG\robocam_2017_06_07_12_17_16_832.jpg;0;1;0;1.48959;100.5014;86.81258;1.250139;54.38022;-0.0008069281
C:\RoboticsND\My_repo\RoboND-Rover-Project\my_dataset\IMG\robocam_2017_06_07_12_17_16_899.jpg;0;1;0;1.537635;100.5561;86.88819;1.254916;54.36321;-0.0009558154
C:\RoboticsND\My_repo\RoboND-Rover-Project\my_dataset\IMG\robocam_2017_06_07_12_17_16_965.jpg;0;1;0;1.598565;100.6123;86.96602;1.258179;54.35265;-0.0009854655
C:\RoboticsND\My_repo\RoboND-Rover-Project\my_dataset\IMG\robocam_2017_06_07_12_17_17_032.jpg;0;1;0;1.645585;100.6899;87.0733;1.263478;54.33782;-0.001006604
C:\RoboticsND\My_repo\RoboND-Rover-Project\my_dataset\IMG\robocam_2017_06_07_12_17_17_099.jpg;0;1;0;1.691846;100.7501;87.15637;1.268877;54.32605;-0.001032492
C:\RoboticsND\My_repo\RoboND-Rover-Project\my_dataset\IMG\robocam_2017_06_07_12_17_17_166.jpg;0;1;0;1.752233;100.8118;87.24168;1.274156;54.31419;-0.001027477
C:\RoboticsND\My_repo\RoboND-Rover-Project\my_dataset\IMG\robocam_2017_06_07_12_17_17_232.jpg;-1.498633;1;0;1.798728;100.8969;87.35854;1.276074;54.22966;-0.0005023836
